lon_wgs84,lat_wgs84,case,name,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.11521106197071,24.518072267384785,1,瑞幸咖啡(日华国际大厦店),39,18,1,1,279.67555905948154,1013.6054314678593,318.50855523595646
118.17033571748456,24.47777984210361,1,瑞幸咖啡(莲前集团大厦店),14,22,0,0,448.0448563186048,1024.4066696415744,980.1952455479768
118.1392588376649,24.528894093178497,1,瑞幸咖啡(火炬新科广场店),11,27,0,0,539.2371083840023,46.6781920601928,722.2558267235862
118.11805988687814,24.55203163869482,1,瑞幸咖啡(机场北院儿里店),16,8,0,0,328.2336185119861,79.96873287799787,1382.6438154233742
118.14543043988743,24.53407685548992,1,瑞幸咖啡(清华海峡研究院店),15,22,1,0,487.0623302049662,895.3731658464474,1049.078838685584
118.17962652659722,24.50957185892747,1,瑞幸咖啡(鼎丰财富中心店),26,11,2,0,181.39205232111703,68.35265724219414,750.0207600200689
118.1870586093868,24.47713927956801,1,瑞幸咖啡(JFC品尚中心店),19,5,6,0,125.64887224831664,122.49169406987534,902.1929511190933
118.13946507230638,24.50395526096535,1,瑞幸咖啡(祥店国贸阳光店),5,23,0,0,432.3074435729346,1775.9145552887876,1113.432031771589
118.14505191598178,24.515083954156232,1,瑞幸咖啡(永建顶尚店),11,16,0,0,1016.8768504502087,1032.486594376908,716.7804649284145
118.10031274557012,24.468730887561588,1,瑞幸咖啡(中石化文灶店),21,59,2,1,351.787579196525,473.3633283897836,93.84191286894703
118.15155344293737,24.527538847641146,1,瑞幸咖啡(锦厦科技大厦店),57,28,0,1,101.58511907287472,907.5928413476179,132.7750154592821
118.12816023110054,24.498024923385632,1,瑞幸咖啡(华永天地店),18,38,3,0,366.82175075690407,756.3827886052588,516.422256300409
118.15583904640853,24.511630669386356,1,瑞幸咖啡(厦门汇盈大厦店),7,11,3,0,305.4036926782003,181.03544790805694,1544.7122963680451
118.1418207957599,24.497317127813506,1,瑞幸咖啡(厦门日报社新闻大厦店),7,55,0,0,388.35702190736896,1375.843011399528,486.0879444977422
118.09891339373148,24.528099055559686,1,瑞幸咖啡(翔鹭花城店),7,30,0,0,684.7285654522159,683.3440299380632,1166.956401245697
118.15089263437768,24.48838138007188,1,luckin coffee 瑞幸咖啡(厦门蔡塘爱琴海购物中心店),5,10,3,1,967.0877044574917,26.181279480702287,188.23438236309144
118.120316384157,24.427779035750586,1,瑞幸咖啡(曾厝垵店),0,0,0,0,1320.5882633502108,213.80722272345565,4682.55649189291
118.15576928034451,24.477764534356826,1,瑞幸咖啡(瑞景商业广场店),7,25,5,0,341.0649133315004,58.18072996251721,1169.902068709672
118.16671538783604,24.509322711624872,1,瑞幸咖啡(厦门弘爱医院店),1,16,1,0,678.3592937283169,649.4465856104187,1545.3111008620863
118.15284651720825,24.52843328063085,1,瑞幸咖啡(无限青创大厦店),68,23,0,1,121.47782855822717,762.1734572582835,272.7676392760571
118.16784283439108,24.472441250360106,1,瑞幸咖啡(前埔东路店),1,24,1,0,642.9218982386834,1414.9741302495486,1579.6042426323
118.10675770270204,24.471054118111528,1,瑞幸咖啡(罗宾森购物广场店),31,44,8,1,228.88053127964727,112.86373373783547,217.4790498148277
