lon_wgs84,lat_wgs84,case,pred_proba,pearson_residual,lisa_raw,lisa_fdr,lisa_p_sim,lisa_q
118.16123114256293,24.526606834569023,0,0.0734309008705826,-0.2815143398141842,ns,ns,0.201,3
118.1797956296289,24.531898618921904,0,0.2223911894088978,-0.5347837502308189,ns,ns,0.441,2
118.12521441375137,24.545835241197036,0,0.0770542001466634,-0.2889415907555246,ns,ns,0.178,3
118.11108522034304,24.43633873076294,0,0.1865675121692095,-0.4789136916919119,ns,ns,0.294,3
118.11472696396088,24.472368127152,0,0.201307374873924,-0.5020419474934542,ns,ns,0.098,3
118.11503706542082,24.43156944003952,0,0.2158174133926324,-0.5246076803640412,LL,ns,0.028,3
118.17269572844516,24.50259353460499,0,0.1373003263242324,-0.3989385160160734,ns,ns,0.271,2
118.10091847326652,24.543120686412585,0,0.0442815338787835,-0.2152515757279021,ns,ns,0.251,3
118.15450769764908,24.518561113183008,0,0.1595449121032487,-0.4356966534997754,ns,ns,0.41,3
118.12724308201705,24.50887220373871,0,0.1509037634350253,-0.4215718246057657,ns,ns,0.441,3
118.12741704534268,24.50781714899473,0,0.1569832854071891,-0.4315276360664242,ns,ns,0.442,3
118.16522956000574,24.49587680339937,0,0.1919457795878997,-0.487381491094749,ns,ns,0.127,3
118.10463190276884,24.535333807063303,0,0.0817366221749359,-0.2983490855398725,ns,ns,0.231,3
118.15201548413124,24.4791315321515,0,0.175259834079874,-0.4609805749208603,ns,ns,0.297,2
118.14900855717546,24.473824322081025,0,0.086034094800546,-0.3068105571576041,ns,ns,0.135,3
118.18708505675032,24.48629977255833,0,0.2526015960719435,-0.58135573639942,ns,ns,0.098,2
118.09201996246796,24.51514423595554,0,0.5485616731742866,-1.102334796725949,ns,ns,0.188,3
118.1374977253884,24.529440571925093,0,0.1798364694369736,-0.4682617209704866,ns,ns,0.155,2
118.14242481165496,24.49940643991427,0,0.037458684756204,-0.1972725108748262,LH,ns,0.012,2
118.1741134545589,24.507842291561545,0,0.27336245663386,-0.6133530340064911,ns,ns,0.08,2
118.11752943757168,24.481864107828933,0,0.3927810603068837,-0.8042713798447163,ns,ns,0.472,3
118.1365125600829,24.531051059326195,0,0.1686356986227717,-0.4503799745664061,ns,ns,0.159,2
118.118199716907,24.508094798978487,0,0.1897714726116501,-0.4839624857899766,ns,ns,0.308,2
118.15513174202852,24.45382643840967,0,0.0202567651681294,-0.1437900749404599,ns,ns,0.385,3
118.08472849895134,24.468819556504354,0,0.4170597338775236,-0.8458378269317349,ns,ns,0.176,2
118.0827100503132,24.45928888285995,0,0.1965552161730629,-0.4946115675221538,ns,ns,0.365,2
118.07517901302909,24.485175250775526,0,0.1708540870202149,-0.4539386940193315,ns,ns,0.336,2
118.08854142463224,24.47146271652164,0,0.2500361903475959,-0.577405987874893,ns,ns,0.325,2
118.1348640900572,24.517800406261692,0,0.0895338198827757,-0.3135895975149189,ns,ns,0.353,2
118.18207559748144,24.526022174839262,0,0.1009113652334618,-0.3350184978178877,ns,ns,0.35,3
118.11413465387906,24.48854896415896,0,0.2405422466685268,-0.5627867595130941,ns,ns,0.325,2
118.12848948975208,24.52591010443475,0,0.0634167572290719,-0.260212900632225,ns,ns,0.321,2
118.13615205482844,24.495310893009034,0,0.0587053951876397,-0.2497331661459561,LH,ns,0.002,2
118.09835057184884,24.473311862557136,0,0.2614543733160346,-0.5949894839284123,ns,ns,0.122,2
118.0893388685746,24.466237869372936,0,0.1516063488629163,-0.4227270018536166,ns,ns,0.267,3
118.14892462886311,24.516195902304887,0,0.1464397660343532,-0.414202223838215,ns,ns,0.103,3
118.17942019332487,24.490526685191497,0,0.1015516913321827,-0.3361994764023693,ns,ns,0.183,2
118.14787192885836,24.525621462485915,0,0.105514958478211,-0.3434554997002995,ns,ns,0.419,2
118.10061657489489,24.471293980583756,0,0.2852265092230925,-0.6316997787718579,ns,ns,0.482,3
118.09471978671895,24.44253570657279,0,0.0759829384396498,-0.286759653665843,ns,ns,0.135,2
