lon_wgs84,lat_wgs84,name,case,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_starbucks,dist_to_nearest_luckin,dist_to_nearest_metro_exit
118.17658173084052,24.489866469478528,(control),0,6,1,0,0,576.5633519911669,173.46875378324023,732.9039780744599
118.13787586283215,24.480452642312024,(control),0,4,34,0,0,1083.4096692284209,336.7994165028519,1293.301881593936
118.10538476412677,24.491965798958926,(control),0,14,21,2,0,138.25558278476396,87.27735683300499,460.1813257069951
118.12035773677198,24.527058185252912,(control),0,6,11,0,0,1198.1384317690142,734.7892238934456,865.4972740773036
118.15513219455222,24.543527259203564,(control),0,5,9,0,0,969.054219099408,468.6056244001029,857.3437997151763
118.09190962344759,24.480391086568314,(control),0,3,2,0,1,1002.9059041089829,426.5478219860895,307.46761975221364
118.07505887245614,24.46767546665843,(control),0,19,66,2,0,237.38517586148808,205.27419246610825,1342.8169519861062
118.13726117526707,24.519594114470646,(control),0,4,14,0,1,1013.0406608491472,432.20064422657555,323.6662167940413
118.15141503961482,24.491128677278585,(control),0,5,9,3,1,319.16285155231213,308.8064913251586,265.2290307221005
118.07896159061431,24.489249414633953,(control),0,3,30,0,0,922.1735035505217,732.694843329194,682.6640203822265
118.16117143764114,24.52792042893997,(control),0,11,19,0,0,940.2292869802509,405.21301721994183,605.5935344392548
118.11371537701247,24.509546791126805,(control),0,10,37,1,1,463.48857847618666,410.9942997322792,324.5142765555643
118.16410316368828,24.474654740405025,(control),0,1,32,0,0,969.557799788088,451.38201927715005,1438.281308200252
118.10954957069879,24.43582814653416,(control),0,12,17,0,0,116.98345441199086,91.86959811681109,3362.6579954234953
118.09658837269286,24.513479469354902,(control),0,37,20,0,0,397.5708716165749,335.9701233558461,577.0922897534217
118.18379403125044,24.498591271609094,(control),0,13,15,1,1,1351.5352284200744,363.36535804588397,491.4431888631968
118.10923202068031,24.46932286539213,(control),0,21,21,7,1,167.49589616343323,171.04638535049125,187.2947914496002
118.1419300548605,24.518013587229305,(control),0,6,14,0,1,1213.32260195684,453.0988259721876,331.8120501657631
118.10710675246057,24.525770926814253,(control),0,11,7,2,1,258.79708458629705,339.70393929054967,349.65069132491544
118.1576627188228,24.540367674272133,(control),0,0,15,1,0,647.8619562856816,571.4414410728606,424.4904867233591
118.18029961878878,24.4911227196082,(control),0,7,3,0,0,612.498924771774,208.74005839935248,773.6680999600637
118.08681210572844,24.522355287824073,(control),0,13,3,0,0,1143.627460003327,632.5937449385377,1972.4608788394787
118.12313338758159,24.55705299651367,(control),0,9,4,0,0,699.7889123114421,543.6196344013316,2121.6792890083266
118.102280757136,24.474422058370916,(control),0,15,61,3,1,436.462272798451,127.13020657738122,215.48902251621533
118.08279700696647,24.498818672767285,(control),0,7,28,0,0,1325.0488478943828,1055.8214281428743,1562.5898113968678
118.07821145917603,24.49335240765552,(control),0,3,28,0,0,745.0834955990872,446.437295498122,806.3746307721422
118.18256830016712,24.534810700845647,(control),0,15,6,1,0,318.7689916281946,349.13577897644257,1666.1450572446076
118.13609981330761,24.490963470196114,(control),0,6,26,0,0,756.7797019941438,621.0036388649881,416.38814024450824
118.18084284103844,24.51205575440491,(control),0,19,8,1,1,277.8904448079917,114.43099373605351,455.58972864944707
118.11493156163657,24.433058671819786,(control),0,10,8,0,1,143.02165652682248,534.4204330549704,3895.8840947201297
118.12896713421418,24.49680721860189,(control),0,19,36,2,1,751.8390009424852,157.70053676955757,378.8278824853293
118.07618077337092,24.49390847528904,(control),0,4,24,0,0,546.8360594640783,236.06248031166203,717.5612533937907
118.14066727247561,24.510274848256397,(control),0,8,14,0,0,1552.7988542944456,693.5289151825333,1197.697669424596
118.13687288011398,24.465592675431555,(control),0,0,0,0,0,2303.208462437857,1412.0014960646731,2735.4630387731045
118.18671885445076,24.518593155936156,(control),0,0,0,0,0,1214.9946690897752,937.1005363675619,479.084525631192
118.08076130016282,24.455261117278006,(control),0,17,63,11,1,268.2874585117403,283.51969672742376,242.69402335616644
118.14200690630267,24.521239035314643,(control),0,3,13,0,1,875.078897485261,748.1803782120938,31.892338978986892
118.11187383544008,24.5273842679127,(control),0,6,10,0,1,773.7297406649309,168.48383017785423,57.01299142064573
118.18975633998484,24.519684893084317,(control),0,0,0,0,0,1366.4833334918387,1219.8679441992094,733.4187368652208
118.13302396090225,24.486978744778334,(control),0,21,25,0,0,308.62161092951555,241.03055438742288,823.8430165593289
